time,values
1587 ,1026
1588 ,1029
1589 ,1029
1590 ,1029
1591 ,1029
1592 ,1032
1593 ,1023
1594 ,1029
1595 ,1032
1596 ,1032
1597 ,1032
1598 ,1032
1599 ,1035
1600 ,1029
1601 ,1032
1602 ,1032
1603 ,1029
1604 ,1029
1605 ,1032
1606 ,1032
1607 ,1029
1608 ,1035
1609 ,1035
1610 ,1032
1611 ,1029
1612 ,1029
1613 ,1026
1614 ,1032
1615 ,1032
1616 ,1032
1617 ,1026
1618 ,1032
1619 ,1029
1620 ,1032
1621 ,1032
1622 ,1029
1623 ,1029
1624 ,1032
1625 ,1032
1626 ,1032
1627 ,1032
1628 ,1035
1629 ,1044
1630 ,1041
1631 ,1044
1632 ,1032
1633 ,1026
1634 ,1029
1635 ,1023
1636 ,1047
1637 ,1065
1638 ,1062
1639 ,1065
1640 ,1062
1641 ,1065
1642 ,1068
1643 ,1068
1644 ,1068
1645 ,1068
1646 ,1068
1647 ,1068
1648 ,1065
1649 ,1071
1650 ,1071
1651 ,1065
1652 ,1068
1653 ,1071
1654 ,1068
1655 ,1065
1656 ,1065
1657 ,1068
1658 ,1068
1659 ,1068
1660 ,1068
1661 ,1068
1662 ,1065
1663 ,1065
1664 ,1062
1665 ,1065
1666 ,1065
1667 ,1065
1668 ,1068
1669 ,1071
1670 ,1068
1671 ,1068
1672 ,1068
1673 ,1068
1674 ,1068
1675 ,1065
1676 ,1065
1677 ,1062
1678 ,1065
1679 ,1068
1680 ,1065
1681 ,1065
1682 ,1068
1683 ,1062
1684 ,1065
1685 ,1065
1686 ,1065
1687 ,1068
1688 ,1065
1689 ,1065
1690 ,1065
1691 ,1065
1692 ,1065
1693 ,1065
1694 ,1068
1695 ,1065
1696 ,1065
1697 ,1050
1698 ,1038
1699 ,1035
1700 ,1035
1701 ,1026
1702 ,1023
1703 ,1023
1704 ,1020
1705 ,1020
1706 ,1020
1707 ,1020
1708 ,1017
1709 ,1023
1710 ,1017
1711 ,1014
1712 ,1020
1713 ,1017
1714 ,1017
1715 ,1017
1716 ,1020
1717 ,1017
1718 ,1017
1719 ,1023
1720 ,1017
1721 ,1020
1722 ,1014
1723 ,1017
1724 ,1023
1725 ,1017
1726 ,1020
1727 ,1014
1728 ,1020
1729 ,1017
1730 ,1020
1731 ,1017
1732 ,1020
1733 ,1017
1734 ,1017
1735 ,1026
1736 ,1029
1737 ,1026
1738 ,1029
1739 ,1029
1740 ,1023
1741 ,1035
1742 ,1029
1743 ,1029
1744 ,1029
1745 ,1029
1746 ,1032
1747 ,1029
1748 ,1029
1749 ,1029
1750 ,1026
1751 ,1032
1752 ,1029
1753 ,1029
1754 ,1029
1755 ,1032
1756 ,1029
1757 ,1035
1758 ,1032
1759 ,1032
1760 ,1029
1761 ,1026
1762 ,1026
1763 ,1026
1764 ,1032
1765 ,1032
1766 ,1029
1767 ,1029
1768 ,1029
1769 ,1032
1770 ,1029
1771 ,1032
1772 ,1032
1773 ,1029
1774 ,1029
1775 ,1029
1776 ,1035
1777 ,1026
1778 ,1029
1779 ,1032
1780 ,1035
1781 ,1029
1782 ,1032
1783 ,1026
1784 ,1029
1785 ,1029
1786 ,1029
1787 ,1029
1788 ,1029
1789 ,1029
1790 ,1029
1791 ,1032
1792 ,1035
1793 ,1029
1794 ,1032
1795 ,1026
1796 ,1029
1797 ,1041
1798 ,1041
1799 ,1029
1800 ,1029
1801 ,1074
1802 ,1080
1803 ,1065
1804 ,1086
1805 ,1068
1806 ,1071
1807 ,1068
1808 ,1065
1809 ,1071
1810 ,1071
1811 ,1071
1812 ,1074
1813 ,1068
1814 ,1068
1815 ,1071
1816 ,1068
1817 ,1068
1818 ,1068
1819 ,1068
1820 ,1068
1821 ,1068
1822 ,1065
1823 ,1065
1824 ,1071
1825 ,1065
1826 ,1068
1827 ,1068
1828 ,1071
1829 ,1068
1830 ,1068
1831 ,1071
1832 ,1068
1833 ,1068
1834 ,1071
1835 ,1068
1836 ,1068
1837 ,1068
1838 ,1068
1839 ,1071
1840 ,1068
1841 ,1068
1842 ,1068
1843 ,1065
1844 ,1071
1845 ,1068
1846 ,1068
1847 ,1068
